Company,Y,predict
AMNB,-2.9471305354099617,-1.3143401
AMOT,18.9057038980217,12.513766
AMOV,-5.274155549297703,-9.785608
AMP,1.6101393134270454,-14.315796
AMPE,7.425475703405538,1.6733341
AMPL,-25.131916399441124,-9.396287
AMR,-683.6041386216633,-164.11758
AMRB,-5.54562798336545,-1.1108108
AMRC,11.703100435575724,7.2597675
AMRI,-35.5419115474275,-10.1363945
AMRN,-31.15070022624785,3.6048653
AMRS,-74.13763462876183,4.141096
AMSC,-1.850360284131848,-10.656352
AMSF,5.154393801544863,4.1565604
AMSG,3.4740822372323703,5.530047
AMSWA,7.006050951796372,7.1003475
AMT,1.1712851071502224,-0.23857741
AMTD,-1.924427142228096,0.42370114
AMWD,-24.34942534593669,-19.610971
AMX,-5.502753231235123,-17.654657
AMZN,-12.658886658482725,-6.688257
AN,-6.8404305075675085,4.6241264
ANAC,-24.42173305506293,2.4365697
ANAD,-13.02080528833001,-9.554249
ANAT,2.597046873455211,-0.5941666
ANCB,-0.5085010377707113,1.332022
ANCI,-78.96193602252974,-12.841629
ANCX,7.027759833082798,-3.596373
ANDE,16.611767903511645,5.1916833
ANEN,-14.727121287533029,2.5208287
ANF,-57.311350059776466,-0.0748158
ANGN,-3.892600160124879,5.298375
ANGO,0.6220518545271374,-12.156656
ANH,-1.2482934399887642,-7.8200107
ANIK,22.83289379728928,5.3268805
ANLY,23.60159578477529,7.056601
ANN,-14.587727709472356,4.369855
ANNB,-6.415052327247082,-0.97578853
ANO,-3.33453077852608,-12.069978
ANR,1.2291947116699966,-1.2233789
ANSS,12.217428265540152,6.653696
ANTH,-14.38163003059803,2.5824957
ANTP,7.9022716347469215,-8.481803
ANV,-8.567568546433456,3.9026191
ANW,-11.001588732528093,-4.8115573
ANX,-72.39462445162285,-1.3155849
AOB,-31.76590332754568,-9.14743
AOI,11.217289949765231,2.745425
AOL,4.549627068713236,0.8561757
AON,-1.4622526090464174,-3.3572915
AONE,-40.25736442811496,-13.380533
AOS,7.35039525505596,5.2800922
AOSL,1.2988294148663495,-10.099468
AP,0.4820471974075622,-23.806644
APA,2.9857648377091546,-13.598223
APAGF,-0.5290914221667917,4.151808
APB,-8.64279841547778,-8.647757
APC,2.44468013064378,0.6802782
APD,-1.7332430992752792,0.56052387
APEI,6.9621453031800895,4.250547
APF,-5.81897567140605,-5.8779163
APFC,-16.284486880369812,6.934108
APH,-5.04551298742552,-14.457844
API,-59.76154602907074,7.01817
APKT,-17.60989692259065,3.9406884
APL,-1.003563909019659,1.3251351
APO,-4.750304755848644,-34.772633
APOG,1.4194462839970463,12.569324
APOL,2.9263894311419367,-2.2415202
APP,-58.1233693908941,-10.932576
APPY,-24.11579665275143,-77.310165
APRI,2.632255936159795,5.917766
APT,4.31252804500332,-9.26787
APU,-3.65313588693225,-54.95227
ARAY,4.6284050192344175,-15.169267
ARB,-5.172537983535183,5.8430963
ARBA,-3.177861850658392,1.9299725
ARC,10.809343331627538,-10.615816
ARCC,2.016041326922782,-56.426258
