,WeekLow,RecentPrice,WeekHigh,Beta,DailyVolume3,DailyVolume10,WeekChange,WeekChangeWSP,MarketCapitalization,SharesOutstanding,FL,AnnualDividend,DividendYield,BookValue,Earningsttm,Earnings,Salesttm,Sales,Cash,PriceBook,PriceEarnings,PriceSales,EBITDA,Income,ProfitMargin,OperatingMargin,ReturnAssets,CurrentRatio,DebtEquity,TotalCash,SharesShortPD,SharesShort,PercentofFloat,ShortRatio,LastSplit,SharesADR,TermDebtEquityLong,ReturnEquity,DailyVolume,Company
116,13.46,15.99,21.25,0.47,2630000.0,2900000.0,260.0,-45.0,34500000.0,2160000.0,1210000.0,164.0,1026.0,21.67,-1.71,0.09,9.11,19870000.0,0.8,0.74,0.0,176.0,0.0,-3770000.0,-190.0,-300.0,-243.0,0.0,0.0,1720000.0,23000000.0,23800000.0,19.0,6.76,0.0,0.0,0.0,-752.0,3400000.0,AGII
117,7.05,8.2,88.25,4.88,76440000.0,1020000.0,-867.0,-899.0,39160000.0,4780000.0,2720000.0,0.0,0.0,6.5,-2.49,-0.11,2.05,9460000.0,6.1,1.26,0.0,400.0,-9970000.0,-11540000.0,0.0,0.0,-2923.0,10.38,0.0,29120000.0,1770000.0,1780000.0,65.0,2.33,0.0,0.0,0.0,-3175.0,76000000.0,AGIL
118,2.23,3.08,9.0,0.0,15030000.0,45300000.0,-409.0,-552.0,8560000.0,2780000.0,1360000.0,0.0,0.0,2.42,-0.73,-0.16,0.28,5920000.0,2.46,1.27,0.0,1118.0,-1230000.0,-1450000.0,0.0,0.0,-2847.0,17.05,0.0,6810000.0,2000000.0,1900000.0,1.0,0.33,0.0,0.0,0.0,-3673.0,6100000.0,AGIX
119,8.187999999999999,9.7,14.0,0.38,1430000.0,2300000.0,412.0,70.0,8350000.0,8610000.0,5900000.0,32.0,330.0,19.27,0.64,0.1,53.94,46790000.0,1.54,0.5,1518.0,18.0,3180000.0,5550000.0,12.0,35.0,173.0,2.54,53.0,1330000.0,1800000.0,2700000.0,3.0,1.12,0.0,0.0,0.0,337.0,1600000.0,AGL
120,17.75,33.1,35.55,0.75,1780000.0,1900000.0,1269.0,719.0,37610000.0,1140000.0,7900000.0,0.0,0.0,9.74,1.06,0.32,18.49,21360000.0,41.68,3.4,3132.0,179.0,32100000.0,1220000.0,57.0,89.0,41.0,0.0,2746.0,47350000.0,5900000.0,5000000.0,7.0,2.81,0.0,0.0,0.0,1105.0,2100000.0,AGM
121,59.0,67.5,101.125,0.38,89950000.0,66300000.0,250.0,-53.0,89200000000.0,13210000.0,10300000.0,36.0,53.0,6.92,1.46,0.16,12.43,16700000000.0,5.3,9.76,4639.0,543.0,35520000.0,19550000.0,118.0,160.0,1105.0,2.85,69.0,70010000.0,2520000.0,2370000.0,25.0,3.56,0.0,0.0,0.0,2329.0,70900000.0,AGN
122,2.6,3.05,21.0,0.0,3360000.0,9800000.0,-787.0,-839.0,5850000.0,1920000.0,9000000.0,0.0,0.0,4.0,-0.55,-0.24,1.0,1770000.0,3.3,0.76,0.0,306.0,-1320000.0,-9970000.0,-564.0,-761.0,-1436.0,15.64,1.0,6330000.0,9000.0,1100000.0,1.0,1.0,0.0,0.0,0.0,-1562.0,9000.0,AGNT
123,8.687999999999999,9.25,14.75,0.09,15230000.0,15900000.0,206.0,-86.0,10600000000.0,11500000.0,11390000.0,11.0,119.0,5.89,0.63,0.33,16.88,20500000000.0,0.35,1.57,1471.0,55.0,31400000.0,7660000.0,42.0,67.0,371.0,1.48,107.0,4000000.0,60300000.0,58300000.0,5.0,5.74,0.0,0.0,0.0,1203.0,10500000.0,AGU
124,15.75,26.43,30.25,0.34,19100000.0,18200000.0,958.0,484.0,76010000.0,2880000.0,2300000.0,0.0,0.0,4.64,1.83,0.47,24.14,70540000.0,1.42,5.7,1440.0,109.0,19460000.0,5360000.0,76.0,220.0,832.0,0.71,443.0,4070000.0,95100000.0,48700000.0,41.0,3.77,0.0,0.0,0.0,5094.0,25200000.0,AGY
125,11.0,25.5,26.1,-0.03,18190000.0,48100000.0,1234.0,693.0,58620000.0,2300000.0,9400000.0,0.0,0.0,7.41,0.34,0.18,9.74,22860000.0,0.22,3.44,7391.0,262.0,1970000.0,8340000.0,36.0,70.0,379.0,5.41,29.0,4980000.0,92500000.0,64800000.0,98.0,10.88,0.0,0.0,0.0,508.0,8500000.0,AH
126,13.062999999999999,21.13,55.375,2.17,2010000.0,3060000.0,3.0,-240.0,92930000.0,4400000.0,3870000.0,0.0,0.0,6.81,0.48,-0.09,5.36,23810000.0,3.43,3.1,4393.0,394.0,4050000.0,2160000.0,91.0,97.0,677.0,11.36,0.0,14960000.0,2830000.0,2020000.0,73.0,1.48,0.0,0.0,0.0,757.0,1910000.0,AHAA
127,58.125,66.58,90.4,0.52,64150000.0,95700000.0,331.0,9.0,59600000000.0,8950000.0,5730000.0,120.0,180.0,51.62,14.47,3.98,162.3,14500000000.0,0.65,1.29,460.0,41.0,30100000000.0,12900000000.0,89.0,142.0,1309.0,1.09,49.0,5800000.0,1500000.0,1750000.0,26.0,3.6,0.0,0.0,0.0,3270.0,41700000.0,AHC
128,16.5,21.98,30.5,0.42,55850000.0,64900000.0,606.0,217.0,11900000000.0,5410000.0,3520000.0,0.0,0.0,3.65,1.17,0.31,19.4,10700000000.0,0.49,6.02,1874.0,113.0,15350000.0,6450000.0,60.0,134.0,1005.0,1.59,173.0,2660000.0,2060000.0,1910000.0,59.0,5.53,0.0,0.0,0.0,4389.0,37300000.0,AHG
129,3.75,19.61,20.7,0.34,26720000.0,46500000.0,3815.0,2648.0,22360000.0,1140000.0,5900000.0,12.0,61.0,3.24,1.24,0.59,10.09,9180000.0,0.58,6.06,1585.0,194.0,2330000.0,1140000.0,135.0,230.0,625.0,0.0,575.0,6610000.0,52000000.0,49500000.0,88.0,2.56,0.0,0.0,0.0,4038.0,20300000.0,AHMH
130,25.15,28.75,33.49,0.59,13180000.0,20000000.0,368.0,37.0,23500000000.0,81790000.0,57250000.0,0.0,0.0,3.51,1.39,0.34,70.53,58300000000.0,1.29,8.19,2062.0,41.0,24800000000.0,11400000000.0,21.0,41.0,559.0,0.93,419.0,10700000000.0,52200000.0,58800000.0,1.0,2.46,0.0,1.0,0.0,6003.0,21200000.0,AHO
131,52.0,59.24,65.25,0.46,3330000.0,4010000.0,376.0,43.0,78100000000.0,13200000000.0,13000000000.0,92.0,155.0,2.37,-1.43,0.36,10.36,13700000000.0,2.39,25.0,0.0,572.0,-20400000000.0,-18500000000.0,-135.0,-190.0,-874.0,1.69,259.0,31500000000.0,7390000.0,3900000.0,6.0,2.31,0.0,0.0,0.0,-4277.0,3210000.0,AHP
132,7.125,10.35,11.74,0.19,17350000.0,40400000.0,748.0,325.0,36600000.0,3540000.0,2900000.0,128.0,1237.0,7.92,1.4,0.32,3.51,10980000.0,0.62,1.31,741.0,295.0,10640000.0,4020000.0,450.0,418.0,372.0,0.0,422.0,2160000.0,5600000.0,16600000.0,2.0,0.43,0.0,0.0,0.0,1814.0,13000000.0,AHR
133,16.8,19.05,25.813000000000002,0.7,9900000.0,6000000.0,257.0,-48.0,83700000000.0,43960000.0,43520000.0,0.0,0.0,17.14,1.51,0.83,11.3,49400000000.0,1.83,1.11,1261.0,169.0,0.0,66040000.0,164.0,0.0,109.0,0.0,0.0,78660000.0,10900000.0,12300000.0,0.0,1.98,0.0,2.0,0.3,1050.0,5500000.0,AIB
134,1.01,1.57,4.5,0.08,3320000.0,5600000.0,-474.0,-601.0,2390000.0,1520000.0,9300000.0,0.0,0.0,0.46,-0.34,-0.06,1.18,1710000.0,0.18,3.45,0.0,133.0,-4680000.0,-5000000.0,-292.0,-291.0,-2903.0,1.49,31.0,2710000.0,3000.0,2000.0,0.0,0.25,0.0,0.0,0.0,-6356.0,1200000.0,AICX
135,3.7,5.0,6.05,0.91,2500000.0,2200000.0,123.0,-149.0,7210000.0,1440000.0,7400000.0,0.0,0.0,10.95,-2.18,-0.06,10.07,14430000.0,0.48,0.46,0.0,50.0,0.0,-3110000.0,-216.0,-218.0,-310.0,0.0,0.0,6880000.0,3000.0,3000.0,0.0,0.11,0.0,0.0,0.0,-1846.0,2700000.0,AIF
136,66.0,76.85,103.75,0.94,6580000.0,7270000.0,87.0,-176.0,201400000000.0,26200000000.0,25200000000.0,17.0,22.0,18.3,2.57,0.69,19.02,44700000000.0,0.11,4.2,2988.0,404.0,0.0,60500000000.0,141.0,205.0,205.0,0.0,116.0,24800000.0,1980000.0,3940000.0,8.0,2.43,0.0,0.0,0.0,1548.0,8170000.0,AIG
137,2.0,7.05,7.12,-0.46,2090000.0,13100000.0,2053.0,1314.0,4080000.0,5790000.0,1400000.0,0.0,0.0,6.37,-0.09,-0.06,12.91,7470000.0,2.48,1.11,0.0,55.0,2420000.0,-51400000.0,-7.0,1.0,-102.0,3.38,0.0,1430000.0,1000.0,0.0,1.0,1.0,0.0,0.0,0.0,-138.0,1000.0,AIII
138,0.62,1.39,4.0,0.04,7410000.0,6800000.0,-83.0,-305.0,2350000.0,1690000.0,9600000.0,0.0,0.0,0.56,-0.02,-0.0,0.0,2500000.0,0.57,2.46,0.0,93569.0,-99200000.0,-39600000.0,0.0,0.0,-398.0,52.16,0.0,9600000.0,2000000.0,2000000.0,2.0,0.77,0.0,0.0,0.0,-406.0,2600000.0,AIMM
139,9.625,15.82,23.0,0.6,6850000.0,8600000.0,856.0,406.0,49320000.0,3120000.0,7600000.0,0.0,0.0,10.15,1.35,0.35,27.14,83980000.0,0.14,1.56,1170.0,58.0,16290000.0,4190000.0,50.0,123.0,381.0,2.7,136.0,4510000.0,13100000.0,14500000.0,17.0,2.26,0.0,0.0,0.0,1339.0,5800000.0,AIN
